show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
80076698,Movie,Ip Man 3,Wilson Yip,"Donnie Yen, Zhang Jin, Lynn Hung, Patrick Tam, Karena Ng, Kent Cheng, Bryan Leung, Louis Cheung, Danny Chan, Mike Tyson, Babyjohn Choi","China, Hong Kong",2015,PG-13,105 min,"Action & Adventure, Dramas, International Movies",7.1
80038159,Movie,The Stanford Prison Experiment,Kyle Patrick Alvarez,"Billy Crudup, Michael Angarano, Ezra Miller, Tye Sheridan, Keir Gilchrist, Olivia Thirlby, Nelsan Ellis, Thomas Mann, Moises Arias, Gaius Charles",United States,2015,R,122 min,"Dramas, Independent Movies, Thrillers",6.9
80037691,Movie,Cop Car,Jon Watts,"Kevin Bacon, James Freedson-Jackson, Hays Wellford, Camryn Manheim, Shea Whigham, Sean Hartley, Kyra Sedgwick, Loi Nguyen",United States,2015,R,88 min,Thrillers,6.3
80998296,Movie,Right Here Right Now,Jakob Lass,"Niklas Bruhn, David Schütter, Tinka Furst, Corinna Harfouch, Bela B. Felsenheimer, Martina Schöne-Radunski, Mathias Bloech, Tanna Barthel, Felix Maria Zeppenfeld, Kalle Schwensen",Germany,2018,TV-MA,91 min,"Comedies, Dramas, Independent Movies",5.6
80094358,Movie,The Real Miyagi,Kevin Derek,Fumio Demura,"United States, Canada, Japan, Panama",2015,TV-PG,81 min,"Documentaries, Sports Movies",7.1
81123052,Movie,Luckee,Sanjay Jadhav,"Abhay Mahajan, Dipti Sati, Mayur More, Shubhangi Tambale, Chetan Dalvi, Nilesh Diwekar",India,2019,TV-14,113 min,"Comedies, International Movies, Romantic Movies",4.2
81035887,Movie,Monopoly (The Bank Of Luck),Ahmed El Gendy,"Mohamed Mamdouh, Mohammed Tharwat, Akram Hosny",Egypt,2017,TV-MA,117 min,"Comedies, International Movies",5.8
81113927,Movie,Pihu,Vinod Kapri,Pihu Myra Vishwakarma,India,2018,TV-14,90 min,"Dramas, Independent Movies, International Movies",6.7
70074315,Movie,Chronicle of an Escape,Israel Adrián Caetano,"Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase",Argentina,2006,R,104 min,"Dramas, International Movies, Thrillers",7.2
80991033,Movie,Lust Stories,"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee","Vicky Kaushal, Bhumi Pednekar, Radhika Apte, Neha Dhupia, Manisha Koirala, Akash Thosar, Randeep Jha, Neil Bhoopalam, Jaideep Ahlawat, Sanjay Kapoor, Kiara Advani",India,2018,TV-MA,121 min,"Comedies, Dramas, International Movies",6.5
